VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
22064,2026,ACURA,ADX,2026 ACURA ADX SUV N/A FWD,,5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.159,0,No Tip,5,Standard,Standard,Standard,0,0,0,2026/ACURA/ADX/2026 ACURA ADX SUV N_A FWD.png
22065,2026,ACURA,ADX,2026 ACURA ADX SUV N/A AWD,,5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.155,0,No Tip,5,Standard,Standard,Standard,0,0,0,2026/ACURA/ADX/2026 ACURA ADX SUV N_A AWD.png
20899,2026,ACURA,INTEGRA,2026 ACURA INTEGRA 5 HB N/A FWD,,5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.095,0,No Tip,5,Standard,Standard,Standard,0,0,0,2026/ACURA/INTEGRA/2026 ACURA INTEGRA 5 HB N_A FWD.png
20900,2026,ACURA,INTEGRA TYPE-S,2026 ACURA INTEGRA TYPE-S 5 HB N/A FWD,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.095,0,No Tip,Not Rated,Standard,Standard,Standard,0,0,0,2026/ACURA/INTEGRA TYPE-S/2026 ACURA INTEGRA TYPE-S 5 HB N_A FWD.png
20891,2026,ACURA,MDX,2026 ACURA MDX SUV N/A FWD,,5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.151,0,No Tip,5,Standard,Standard & Optional,Standard & Optional,0,0,0,2026/ACURA/MDX/2026 ACURA MDX SUV N_A FWD.png
20892,2026,ACURA,MDX,2026 ACURA MDX SUV N/A AWD,,Not Rated,4,4,4,5,5,5,5,5,5,Not Rated,Not Rated,0,0, ,5,Standard,Standard & Optional,Standard & Optional,0,0,0,2026/ACURA/MDX/2026 ACURA MDX SUV N_A AWD.png
20903,2026,ACURA,RDX,2026 ACURA RDX SUV N/A FWD,,5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.165,0,No Tip,5,Standard,Standard,Standard,0,0,0,2026/ACURA/RDX/2026 ACURA RDX SUV N_A FWD.png
20904,2026,ACURA,RDX,2026 ACURA RDX SUV N/A AWD,,5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.15,0,No Tip,5,Standard,Standard,Standard,0,0,0,2026/ACURA/RDX/2026 ACURA RDX SUV N_A AWD.png
20908,2026,ACURA,ZDX BEV,2026 ACURA ZDX SUV BEV RWD,,5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.092,0,No Tip,5,Standard,No,No,0,0,0,2026/ACURA/ZDX BEV/2026 ACURA ZDX SUV BEV RWD.png
20909,2026,ACURA,ZDX BEV,2026 ACURA ZDX SUV BEV AWD,,5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.087,0,No Tip,5,Standard,No,No,0,0,0,2026/ACURA/ZDX BEV/2026 ACURA ZDX SUV BEV AWD.png
