VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
2974,1991,ACURA,INTEGRA,1991 Acura Integra 4-DR.,,Not Rated,Not Rated,0,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,40,11,3,
2954,1991,AUDI,100,1991 Audi 100 4-DR.,,Not Rated,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,10,4,1,
2977,1991,BMW,325I,1991 BMW 325i 2-DR.,,Not Rated,Not Rated,3,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,11,3,2,
2927,1991,BUICK,CENTURY,1991 Buick Century 4-DR.,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,49,2,2,
2992,1991,BUICK,ELECTRA PARK AVE,1991 Buick Electra Park Ave 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,116,1,3,
2968,1991,BUICK,LESABRE,1991 Buick LeSabre 2-DR.,,Not Rated,Not Rated,0,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,42,1,2,
2971,1991,BUICK,REGAL,1991 Buick Regal 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,249,7,11,
3004,1991,CADILLAC,DEVILLE,1991 Cadillac Deville 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,100,1,4,
2970,1991,CHEVROLET,ASTRO,1991 Chevrolet Astro,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,116,6,7,
2917,1991,CHEVROLET,BERETTA,1991 Chevrolet Beretta 2-DR,,Not Rated,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,71,1,8,
2973,1991,CHEVROLET,BLAZER,1991 Chevrolet S-10 Blazer 4-DR. 4x4,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,245,7,10,
2937,1991,CHEVROLET,BLAZER,1991 Chevrolet S-10 Blazer 2-DR. 4x4,,Not Rated,Not Rated,1,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,245,7,10,
2995,1991,CHEVROLET,CAMARO,1991 Chevrolet Camaro 2-DR. HB.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,110,7,6,
2994,1991,CHEVROLET,CAPRICE,1991 Chevrolet Caprice 4-DR.,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,169,10,6,
2916,1991,CHEVROLET,CAVALIER,1991 Chevrolet Cavalier 4-DR,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,74,3,4,
2915,1991,CHEVROLET,CORSICA,1991 Chevrolet Corsica 4-DR,,Not Rated,Not Rated,5,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,133,1,9,
2944,1991,CHEVROLET,LUMINA,1991 Chevrolet Lumina 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,425,6,11,
2960,1991,CHEVROLET,S-10,1991 Chevrolet S-10  4x4,,Not Rated,Not Rated,2,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,233,10,7,
2926,1991,CHRYSLER,FIFTH AVE,1991 Chrysler Fifth Ave. 4-DR.,,Not Rated,Not Rated,4,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,52,3,2,
3012,1991,CHRYSLER,IMPERIAL,1991 Chrysler Imperial 4-DR.,,Not Rated,Not Rated,4,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,111,3,2,
2941,1991,CHRYSLER,NEW YORKER,1991 Chrysler New Yorker 4-DR.,,Not Rated,Not Rated,4,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,116,5,2,
2930,1991,DODGE,COLT,1991 Dodge Colt 4-DR.,,Not Rated,Not Rated,0,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,22,1,3,
2948,1991,DODGE,DAYTONA,1991 Dodge Daytona 2-DR. HB.,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,16,4,1,
2943,1991,DODGE,DYNASTY,1991 Dodge Dynasty 4-DR.,,Not Rated,Not Rated,4,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,132,5,1,
2958,1991,DODGE,SHADOW,1991 Dodge Shadow 4-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,112,5,5,
2957,1991,DODGE,SPIRIT,1991 Dodge Spirit 4-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,122,3,3,
2949,1991,EAGLE,SUMMIT,1991 Eagle Summit 4-DR.,,Not Rated,Not Rated,0,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,15,1,2,
2913,1991,EAGLE,TALON,1991 Eagle Talon 2-DR. HB.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,114,2,3,
2983,1991,FORD,CLUB WAGON,1991 Ford Club Wagon Van,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,10,0,0,
2987,1991,FORD,ESCORT,1991 Ford Escort 2-DR.,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,393,4,6,
2999,1991,FORD,EXPLORER,1991 Ford Explorer 4-DR. 4x4,,Not Rated,Not Rated,3,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,699,11,18,
2934,1991,FORD,MUSTANG,1991 Ford Mustang 2-DR. Convertible,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,96,6,2,
2956,1991,FORD,PROBE,1991 Ford Probe 2-DR. HB.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,190,4,6,
2965,1991,FORD,RANGER,1991 Ford Ranger 2-DR. 4x4,,Not Rated,Not Rated,1,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,143,6,4,
2997,1991,FORD,TAURUS,1991 Ford Taurus 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,833,5,14,
2933,1991,FORD,TAURUS,1991 Ford Taurus 4-DR. Wagon,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,833,5,14,
2985,1991,FORD,THUNDERBIRD,1991 Ford Thunderbird 2-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,128,4,2,
2920,1991,GEO,STORM,1991 Geo Storm 2-DR. HB.,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,98,2,2,
3003,1991,GEO,TRACKER,1991 Geo Tracker 2-DR.,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,22,1,3,
2940,1991,GEO,TRACKER,1991 Geo Tracker 4-DR.,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,22,1,3,
