VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
3114,1992,ACURA,INTEGRA,1992 Acura Integra 4-DR.,,Not Rated,Not Rated,0,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,30,9,0,1992/ACURA/INTEGRA/1992 Acura Integra 4-DR..png
3031,1992,ACURA,LEGEND,1992 Acura Legend 4-DR.,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,96,6,2,1992/ACURA/LEGEND/1992 Acura Legend 4-DR..png
3104,1992,ACURA,VIGOR,1992 Acura Vigor 4-DR.,,Not Rated,Not Rated,2,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,17,0,0,1992/ACURA/VIGOR/1992 Acura Vigor 4-DR..png
3108,1992,BMW,325I,1992 BMW 325i 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,86,10,2,1992/BMW/325I/1992 BMW 325i 4-DR..png
3076,1992,BUICK,CENTURY,1992 Buick Century 4-DR,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,52,3,1,1992/BUICK/CENTURY/1992 Buick Century 4-DR.png
3072,1992,BUICK,ELECTRA PARK AVE,1992 Buick Electra Park Ave 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,102,1,2,1992/BUICK/ELECTRA PARK AVE/1992 Buick Electra Park Ave 4-DR..png
3032,1992,BUICK,LESABRE,1992 Buick LeSabre 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,224,2,4,1992/BUICK/LESABRE/1992 Buick LeSabre 4-DR..png
3070,1992,BUICK,REGAL,1992 Buick Regal 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,173,2,3,1992/BUICK/REGAL/1992 Buick Regal 4-DR..png
3022,1992,BUICK,SKYLARK,1992 Buick Skylark 4-DR,,Not Rated,Not Rated,1,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,45,3,2,1992/BUICK/SKYLARK/1992 Buick Skylark 4-DR.png
3019,1992,CADILLAC,DEVILLE,1992 Cadillac Deville 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,169,1,1,1992/CADILLAC/DEVILLE/1992 Cadillac Deville 4-DR..png
3106,1992,CADILLAC,SEVILLE,1992 Cadillac Seville 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,31,1,0,1992/CADILLAC/SEVILLE/1992 Cadillac Seville 4-DR..png
3082,1992,CHEVROLET,ASTRO,1992 Chevrolet Astro,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,155,5,3,1992/CHEVROLET/ASTRO/1992 Chevrolet Astro.png
3047,1992,CHEVROLET,BERETTA,1992 Chevrolet Beretta 2-DR,,Not Rated,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,74,1,4,1992/CHEVROLET/BERETTA/1992 Chevrolet Beretta 2-DR.png
3062,1992,CHEVROLET,CAMARO,1992 Chevrolet Camaro 2-DR. HB.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,101,5,3,1992/CHEVROLET/CAMARO/1992 Chevrolet Camaro 2-DR. HB..png
3086,1992,CHEVROLET,CAPRICE,1992 Chevrolet Caprice 4-DR.,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,114,11,4,1992/CHEVROLET/CAPRICE/1992 Chevrolet Caprice 4-DR..png
3045,1992,CHEVROLET,CAVALIER,1992 Chevrolet Cavalier 4-DR,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,161,1,2,1992/CHEVROLET/CAVALIER/1992 Chevrolet Cavalier 4-DR.png
3118,1992,CHEVROLET,CORSICA,1992 Chevrolet Corsica 4-DR,,Not Rated,Not Rated,5,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,171,1,4,1992/CHEVROLET/CORSICA/1992 Chevrolet Corsica 4-DR.png
3066,1992,CHEVROLET,G-20,1992 Chevrolet G-20,,Not Rated,Not Rated,1,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,36,4,2,1992/CHEVROLET/G-20/1992 Chevrolet G-20.png
3107,1992,CHEVROLET,LUMINA,1992 Chevrolet Lumina 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,444,4,4,1992/CHEVROLET/LUMINA/1992 Chevrolet Lumina 4-DR..png
3024,1992,CHEVROLET,S-10,1992 Chevrolet S-10,,Not Rated,Not Rated,3,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,211,7,7,1992/CHEVROLET/S-10/1992 Chevrolet S-10.png
3049,1992,CHRYSLER,TOWN & COUNTRY,1992 Chrysler Town & Country,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,160,10,14,1992/CHRYSLER/TOWN & COUNTRY/1992 Chrysler Town & Country.png
3112,1992,DODGE,CARAVAN,1992 Dodge Caravan,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,1078,11,14,1992/DODGE/CARAVAN/1992 Dodge Caravan.png
3028,1992,DODGE,DAKOTA,1992 Dodge Dakota Regular Cab,,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,292,2,3,1992/DODGE/DAKOTA/1992 Dodge Dakota Regular Cab.png
3036,1992,DODGE,DAYTONA,1992 Dodge Daytona 2-DR. HB.,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,19,2,0,1992/DODGE/DAYTONA/1992 Dodge Daytona 2-DR. HB..png
3030,1992,DODGE,RAM,1992 Dodge Ram 50 2-DR.,,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,71,2,1,1992/DODGE/RAM/1992 Dodge Ram 50 2-DR..png
3060,1992,DODGE,RAM,1992 Dodge Ram B-250 Van,,Not Rated,Not Rated,1,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,108,2,4,1992/DODGE/RAM/1992 Dodge Ram B-250 Van.png
3029,1992,DODGE,SHADOW,1992 Dodge Shadow 4-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,79,4,6,1992/DODGE/SHADOW/1992 Dodge Shadow 4-DR..png
3071,1992,DODGE,SPIRIT,1992 Dodge Spirit 4-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,79,1,2,1992/DODGE/SPIRIT/1992 Dodge Spirit 4-DR..png
3059,1992,EAGLE,SUMMIT,1992 Eagle Summit 2-DR. HB.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,55,3,3,1992/EAGLE/SUMMIT/1992 Eagle Summit 2-DR. HB..png
3069,1992,EAGLE,TALON,1992 Eagle Talon 2-DR. HB.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,59,1,3,1992/EAGLE/TALON/1992 Eagle Talon 2-DR. HB..png
3119,1992,FORD,AEROSTAR,1992 Ford Aerostar,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,367,5,5,1992/FORD/AEROSTAR/1992 Ford Aerostar.png
3077,1992,FORD,CROWN VICTORIA,1992 Ford Crown Victoria 4-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,424,9,10,1992/FORD/CROWN VICTORIA/1992 Ford Crown Victoria 4-DR..png
3095,1992,FORD,ECONOLINE,1992 Ford Econoline,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,270,8,6,1992/FORD/ECONOLINE/1992 Ford Econoline.png
3094,1992,FORD,ESCORT,1992 Ford Escort 2-DR.,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,193,3,1,1992/FORD/ESCORT/1992 Ford Escort 2-DR..png
3038,1992,FORD,F-150,1992 Ford F-150 2-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,546,10,9,1992/FORD/F-150/1992 Ford F-150 2-DR..png
3120,1992,FORD,FESTIVA,1992 Ford Festiva 2-DR. HB.,,Not Rated,Not Rated,0,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,23,1,0,1992/FORD/FESTIVA/1992 Ford Festiva 2-DR. HB..png
3026,1992,FORD,MUSTANG,1992 Ford Mustang 2-DR. Convertible,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,78,5,3,1992/FORD/MUSTANG/1992 Ford Mustang 2-DR. Convertible.png
3046,1992,FORD,PROBE,1992 Ford Probe 2-DR.HB.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,98,3,2,1992/FORD/PROBE/1992 Ford Probe 2-DR.HB..png
3048,1992,FORD,RANGER,1992 Ford Ranger 2-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,209,6,1,1992/FORD/RANGER/1992 Ford Ranger 2-DR..png
3020,1992,FORD,TAURUS,1992 Ford Taurus 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,885,6,14,1992/FORD/TAURUS/1992 Ford Taurus 4-DR..png
3101,1992,FORD,TAURUS,1992 Ford Taurus 4-DR. Wagon,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,885,6,14,1992/FORD/TAURUS/1992 Ford Taurus 4-DR. Wagon.png
3084,1992,FORD,THUNDERBIRD,1992 Ford Thunderbird 2-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,210,4,5,1992/FORD/THUNDERBIRD/1992 Ford Thunderbird 2-DR..png
3098,1992,GEO,METRO,1992 Geo Metro 2-DR. HB.,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,74,1,1,1992/GEO/METRO/1992 Geo Metro 2-DR. HB..png
3096,1992,GEO,STORM,1992 Geo Storm 2-DR. HB.,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,98,1,0,1992/GEO/STORM/1992 Geo Storm 2-DR. HB..png
3067,1992,GMC,G-25,1992 GMC G-25,,Not Rated,Not Rated,1,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,9,2,3,1992/GMC/G-25/1992 GMC G-25.png
3099,1992,GMC,SAFARI,1992 GMC Safari,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,66,3,3,1992/GMC/SAFARI/1992 GMC Safari.png
3089,1992,GMC,SONOMA,1992 GMC Sonoma,,Not Rated,Not Rated,3,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,42,3,4,1992/GMC/SONOMA/1992 GMC Sonoma.png
3025,1992,HONDA,ACCORD,1992 Honda Accord 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,230,12,0,1992/HONDA/ACCORD/1992 Honda Accord 4-DR..png
3021,1992,HONDA,PRELUDE,1992 Honda Prelude 2-DR,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,23,5,2,1992/HONDA/PRELUDE/1992 Honda Prelude 2-DR.png
3015,1992,HYUNDAI,ELANTRA,1992 Hyundai Elantra 4-DR.,,Not Rated,Not Rated,1,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,38,0,2,1992/HYUNDAI/ELANTRA/1992 Hyundai Elantra 4-DR..png
3065,1992,HYUNDAI,EXCEL,1992 Hyundai Excel 2-DR. HB,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,36,1,2,1992/HYUNDAI/EXCEL/1992 Hyundai Excel 2-DR. HB.png
3083,1992,HYUNDAI,EXCEL,1992 Hyundai Excel 4-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,36,1,2,1992/HYUNDAI/EXCEL/1992 Hyundai Excel 4-DR..png
3039,1992,HYUNDAI,SCOUPE,1992 Hyundai Scoupe 2-DR,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,8,0,1,1992/HYUNDAI/SCOUPE/1992 Hyundai Scoupe 2-DR.png
3103,1992,INFINITI,M-30,1992 Infiniti M-30 2-DR,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,5,1,0,1992/INFINITI/M-30/1992 Infiniti M-30 2-DR.png
3058,1992,ISUZU,PICKUP,1992 Isuzu Pickup 2-DR.,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,12,1,0,1992/ISUZU/PICKUP/1992 Isuzu Pickup 2-DR..png
3081,1992,ISUZU,STYLUS,1992 Isuzu Stylus 4-DR.,,Not Rated,Not Rated,3,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,8,1,0,1992/ISUZU/STYLUS/1992 Isuzu Stylus 4-DR..png
3085,1992,ISUZU,TROOPER,1992 Isuzu Trooper 4-DR. 4x4,,Not Rated,Not Rated,2,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,29,2,1,1992/ISUZU/TROOPER/1992 Isuzu Trooper 4-DR. 4x4.png
3042,1992,JEEP,CHEROKEE,1992 Jeep Cherokee 4-DR. 4x4,,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,166,5,10,1992/JEEP/CHEROKEE/1992 Jeep Cherokee 4-DR. 4x4.png
3113,1992,LINCOLN,CONTINENTAL,1992 Lincoln Continental 4-DR.,,Not Rated,Not Rated,3,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,179,3,8,1992/LINCOLN/CONTINENTAL/1992 Lincoln Continental 4-DR..png
3023,1992,LINCOLN,TOWN CAR,1992 Lincoln Town Car 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,288,4,7,1992/LINCOLN/TOWN CAR/1992 Lincoln Town Car 4-DR..png
3055,1992,MAZDA,B-2200,1992 Mazda B-2200 2-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,18,3,2,1992/MAZDA/B-2200/1992 Mazda B-2200 2-DR..png
3080,1992,MAZDA,MIATA,1992 Mazda Miata 2-DR. Convertible,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,4,2,0,1992/MAZDA/MIATA/1992 Mazda Miata 2-DR. Convertible.png
3050,1992,MAZDA,MX-3,1992 Mazda MX-3 2-DR,,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,50,3,3,1992/MAZDA/MX-3/1992 Mazda MX-3 2-DR.png
3115,1992,MAZDA,PROTEGE,1992 Mazda Protege 4-DR,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,68,1,2,1992/MAZDA/PROTEGE/1992 Mazda Protege 4-DR.png
3073,1992,MERCURY,COUGAR,1992 Mercury Cougar 2-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,123,3,4,1992/MERCURY/COUGAR/1992 Mercury Cougar 2-DR..png
3018,1992,MERCURY,GRAND MARQUIS,1992 Mercury Grand Marquis 4-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,346,3,8,1992/MERCURY/GRAND MARQUIS/1992 Mercury Grand Marquis 4-DR..png
3043,1992,MERCURY,SABLE,1992 Mercury Sable 4-DR. Wagon,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,483,5,11,1992/MERCURY/SABLE/1992 Mercury Sable 4-DR. Wagon.png
3091,1992,MERCURY,SABLE,1992 Mercury Sable 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,483,5,11,1992/MERCURY/SABLE/1992 Mercury Sable 4-DR..png
