VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
3219,1993,ACURA,INTEGRA,1993 Acura Integra 4-DR.,,Not Rated,Not Rated,0,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,21,9,0,1993/ACURA/INTEGRA/1993 Acura Integra 4-DR..png
3124,1993,ACURA,LEGEND,1993 Acura Legend 4-DR.,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,26,4,1,1993/ACURA/LEGEND/1993 Acura Legend 4-DR..png
3125,1993,BMW,325I,1993 BMW 325i 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,55,9,1,1993/BMW/325I/1993 BMW 325i 4-DR..png
3167,1993,BUICK,CENTURY,1993 Buick Century 4-DR,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,63,2,1,1993/BUICK/CENTURY/1993 Buick Century 4-DR.png
3249,1993,BUICK,CENTURY,1993 Buick Century 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,63,2,1,1993/BUICK/CENTURY/1993 Buick Century 4-DR..png
3264,1993,BUICK,ELECTRA PARK AVE,1993 Buick Electra Park Ave 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,76,1,1,1993/BUICK/ELECTRA PARK AVE/1993 Buick Electra Park Ave 4-DR..png
3231,1993,BUICK,LESABRE,1993 Buick LeSabre 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,243,1,3,1993/BUICK/LESABRE/1993 Buick LeSabre 4-DR..png
3228,1993,BUICK,REGAL,1993 Buick Regal 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,108,2,3,1993/BUICK/REGAL/1993 Buick Regal 4-DR..png
3177,1993,BUICK,SKYLARK,1993 Buick Skylark 4 DR,,Not Rated,Not Rated,1,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,55,1,1,1993/BUICK/SKYLARK/1993 Buick Skylark 4 DR.png
3230,1993,CADILLAC,DEVILLE,1993 Cadillac Deville 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,120,1,0,1993/CADILLAC/DEVILLE/1993 Cadillac Deville 4-DR..png
3157,1993,CHEVROLET,ASTRO,1993 Chevrolet Astro,,Not Rated,Not Rated,3,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,166,5,2,1993/CHEVROLET/ASTRO/1993 Chevrolet Astro.png
3217,1993,CHEVROLET,BERETTA,1993 Chevrolet Beretta 2-DR,,Not Rated,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,48,0,3,1993/CHEVROLET/BERETTA/1993 Chevrolet Beretta 2-DR.png
3257,1993,CHEVROLET,BLAZER,1993 Chevrolet S-10 Blazer 4-DR. 4x4,,Not Rated,Not Rated,3,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,569,7,7,1993/CHEVROLET/BLAZER/1993 Chevrolet S-10 Blazer 4-DR. 4x4.png
3243,1993,CHEVROLET,C/K,1993 Chevrolet C-1500 (C/K),,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,300,2,2,1993/CHEVROLET/C/K/1993 Chevrolet C-1500 (C_K).png
3198,1993,CHEVROLET,CAMARO,1993 Chevrolet Camaro 2-DR. HB.,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,42,6,2,1993/CHEVROLET/CAMARO/1993 Chevrolet Camaro 2-DR. HB..png
3169,1993,CHEVROLET,CAPRICE,1993 Chevrolet Caprice 4-DR.,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,70,6,2,1993/CHEVROLET/CAPRICE/1993 Chevrolet Caprice 4-DR..png
3139,1993,CHEVROLET,CAVALIER,1993 Chevrolet Cavalier 4-DR,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,210,2,3,1993/CHEVROLET/CAVALIER/1993 Chevrolet Cavalier 4-DR.png
3181,1993,CHEVROLET,CORSICA,1993 Chevrolet Corsica 4-DR,,Not Rated,Not Rated,5,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,129,0,3,1993/CHEVROLET/CORSICA/1993 Chevrolet Corsica 4-DR.png
3149,1993,CHEVROLET,G-20,1993 Chevrolet G-20,,Not Rated,Not Rated,1,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,106,6,4,1993/CHEVROLET/G-20/1993 Chevrolet G-20.png
3170,1993,CHEVROLET,LUMINA,1993 Chevrolet Lumina 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,317,3,3,1993/CHEVROLET/LUMINA/1993 Chevrolet Lumina 4-DR..png
3199,1993,CHEVROLET,S-10,1993 Chevrolet S-10,,Not Rated,Not Rated,3,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,258,7,5,1993/CHEVROLET/S-10/1993 Chevrolet S-10.png
3261,1993,CHEVROLET,SUBURBAN,1993 Chevrolet Suburban 4-DR. 4x4,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,574,2,5,1993/CHEVROLET/SUBURBAN/1993 Chevrolet Suburban 4-DR. 4x4.png
3196,1993,CHRYSLER,CONCORDE,1993 Chrysler Concorde 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,381,4,9,1993/CHRYSLER/CONCORDE/1993 Chrysler Concorde 4-DR..png
3191,1993,CHRYSLER,NEW YORKER,1993 Chrysler New Yorker 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,91,3,7,1993/CHRYSLER/NEW YORKER/1993 Chrysler New Yorker 4-DR..png
3202,1993,CHRYSLER,TOWN & COUNTRY,1993 Chrysler Town & Country,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,238,10,12,1993/CHRYSLER/TOWN & COUNTRY/1993 Chrysler Town & Country.png
3153,1993,DODGE,CARAVAN,1993 Dodge Caravan,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,1140,10,13,1993/DODGE/CARAVAN/1993 Dodge Caravan.png
3213,1993,DODGE,COLT,1993 Dodge Colt 4-DR.,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,120,2,3,1993/DODGE/COLT/1993 Dodge Colt 4-DR..png
3131,1993,DODGE,DAKOTA,1993 Dodge Dakota Regular Cab,,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,151,2,1,1993/DODGE/DAKOTA/1993 Dodge Dakota Regular Cab.png
3121,1993,DODGE,DAYTONA,1993 Dodge Daytona 2-DR. HB.,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,24,1,1,1993/DODGE/DAYTONA/1993 Dodge Daytona 2-DR. HB..png
3253,1993,DODGE,DYNASTY,1993 Dodge Dynasty 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,111,1,2,1993/DODGE/DYNASTY/1993 Dodge Dynasty 4-DR..png
3265,1993,DODGE,INTREPID,1993 Dodge Intrepid 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,488,5,10,1993/DODGE/INTREPID/1993 Dodge Intrepid 4-DR..png
3122,1993,DODGE,RAM,1993 Dodge Ram 2-DR.,,Not Rated,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,119,1,3,1993/DODGE/RAM/1993 Dodge Ram 2-DR..png
3214,1993,DODGE,RAM,1993 Dodge Ram B-250 Van,,Not Rated,Not Rated,1,2,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,115,2,3,1993/DODGE/RAM/1993 Dodge Ram B-250 Van.png
3232,1993,DODGE,RAM,1993 Dodge Ram 50 2-DR.,,Not Rated,Not Rated,3,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,66,1,2,1993/DODGE/RAM/1993 Dodge Ram 50 2-DR..png
3133,1993,DODGE,SHADOW,1993 Dodge Shadow 4-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,124,1,4,1993/DODGE/SHADOW/1993 Dodge Shadow 4-DR..png
3141,1993,DODGE,SPIRIT,1993 Dodge Spirit 4-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,104,0,2,1993/DODGE/SPIRIT/1993 Dodge Spirit 4-DR..png
3224,1993,DODGE,STEALTH,1993 Dodge Stealth 2-DR. HB.,,Not Rated,Not Rated,5,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,50,2,3,1993/DODGE/STEALTH/1993 Dodge Stealth 2-DR. HB..png
3186,1993,EAGLE,SUMMIT,1993 Eagle Summit 2-DR. HB.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,100,3,3,1993/EAGLE/SUMMIT/1993 Eagle Summit 2-DR. HB..png
3220,1993,EAGLE,SUMMIT,1993 Eagle Summit 4-DR.,,Not Rated,Not Rated,3,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,103,3,3,1993/EAGLE/SUMMIT/1993 Eagle Summit 4-DR..png
3156,1993,EAGLE,TALON,1993 Eagle Talon 2-DR. HB.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,43,1,3,1993/EAGLE/TALON/1993 Eagle Talon 2-DR. HB..png
3263,1993,EAGLE,VISION,1993 Eagle Vision 4-DR.,,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,199,5,9,1993/EAGLE/VISION/1993 Eagle Vision 4-DR..png
3254,1993,FORD,AEROSTAR,1993 Ford Aerostar,,Not Rated,Not Rated,4,3,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,471,4,5,1993/FORD/AEROSTAR/1993 Ford Aerostar.png
3252,1993,FORD,BRONCO,1993 Ford Bronco 2-DR. 4x4,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,52,7,0,1993/FORD/BRONCO/1993 Ford Bronco 2-DR. 4x4.png
3145,1993,FORD,CROWN VICTORIA,1993 Ford Crown Victoria 4-DR.,,Not Rated,Not Rated,3,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,234,9,10,1993/FORD/CROWN VICTORIA/1993 Ford Crown Victoria 4-DR..png
