VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
2886,1990,ACURA,INTEGRA,1990 Acura Integra 4-DR,,Not Rated,Not Rated,0,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,37,12,2,1990/ACURA/INTEGRA/1990 Acura Integra 4-DR.png
2872,1990,AUDI,100,1990 Audi 100 4-DR.,,Not Rated,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,16,4,2,1990/AUDI/100/1990 Audi 100 4-DR..png
2851,1990,BMW,325I,1990 BMW 325i 2-DR.,,Not Rated,Not Rated,3,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,13,2,1,1990/BMW/325I/1990 BMW 325i 2-DR..png
2854,1990,BUICK,ELECTRA PARK AVE,1990 Buick Electra Park Ave 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,23,2,2,1990/BUICK/ELECTRA PARK AVE/1990 Buick Electra Park Ave 4-DR..png
2868,1990,BUICK,LESABRE,1990 Buick LeSabre 2-DR.,,Not Rated,Not Rated,0,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,60,1,2,1990/BUICK/LESABRE/1990 Buick LeSabre 2-DR..png
2861,1990,BUICK,REGAL,1990 Buick Regal 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,103,9,11,1990/BUICK/REGAL/1990 Buick Regal 4-DR..png
2860,1990,CADILLAC,DEVILLE,1990 Cadillac Deville 4-DR.,,Not Rated,Not Rated,5,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,94,2,3,1990/CADILLAC/DEVILLE/1990 Cadillac Deville 4-DR..png
2899,1990,CHEVROLET,ASTRO,1990 Chevrolet Astro,,Not Rated,Not Rated,1,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,80,7,9,1990/CHEVROLET/ASTRO/1990 Chevrolet Astro.png
2898,1990,CHEVROLET,BLAZER,1990 Chevrolet S-10 Blazer 2-DR. 4x4,,Not Rated,Not Rated,1,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,43,4,9,1990/CHEVROLET/BLAZER/1990 Chevrolet S-10 Blazer 2-DR. 4x4.png
2852,1990,CHEVROLET,CAVALIER,1990 Chevrolet Cavalier 4-DR.,,Not Rated,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,63,1,5,1990/CHEVROLET/CAVALIER/1990 Chevrolet Cavalier 4-DR..png
2889,1990,CHEVROLET,LUMINA,1990 Chevrolet Lumina 4-DR.,,Not Rated,Not Rated,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,549,9,18,1990/CHEVROLET/LUMINA/1990 Chevrolet Lumina 4-DR..png
2848,1990,CHEVROLET,S-10,1990 Chevrolet S-10 4x4,,Not Rated,Not Rated,2,1,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,32,6,7,1990/CHEVROLET/S-10/1990 Chevrolet S-10 4x4.png
